emotion,condition,n_ratings,n_workers
admiration,expression,50,15
admiration,noexpression,50,15
anger,expression,50,15
anger,noexpression,50,15
disappointment,expression,50,15
disappointment,noexpression,50,15
disliking,expression,50,15
disliking,noexpression,50,15
distress,expression,50,15
distress,noexpression,50,15
fear,expression,50,15
fear,noexpression,50,15
fearsConfirmed,expression,50,15
fearsConfirmed,noexpression,50,15
gloating,expression,50,15
gloating,noexpression,50,15
gratification,expression,50,15
gratification,noexpression,50,15
gratitude,expression,50,15
gratitude,noexpression,50,15
happyfor,expression,50,15
happyfor,noexpression,50,15
hope,expression,50,15
hope,noexpression,50,15
joy,expression,50,15
joy,noexpression,50,15
liking,expression,50,15
liking,noexpression,50,15
pity,expression,50,15
pity,noexpression,50,15
pride,expression,50,15
pride,noexpression,50,15
relief,expression,50,15
relief,noexpression,50,15
remorse,expression,50,15
remorse,noexpression,50,15
reproach,expression,50,15
reproach,noexpression,50,15
resentment,expression,50,15
resentment,noexpression,50,15
satisfaction,expression,50,15
satisfaction,noexpression,50,15
shame,expression,50,15
shame,noexpression,50,15
