emotion,scenario_id,condition,n_ratings,n_workers
admiration,1,expression,10,10
admiration,1,noexpression,10,10
admiration,2,expression,10,10
admiration,2,noexpression,10,10
admiration,3,expression,10,10
admiration,3,noexpression,10,10
admiration,4,expression,10,10
admiration,4,noexpression,10,10
admiration,5,expression,10,10
admiration,5,noexpression,10,10
anger,1,expression,10,10
anger,1,noexpression,10,10
anger,2,expression,10,10
anger,2,noexpression,10,10
anger,3,expression,10,10
anger,3,noexpression,10,10
anger,4,expression,10,10
anger,4,noexpression,10,10
anger,5,expression,10,10
anger,5,noexpression,10,10
disappointment,1,expression,10,10
disappointment,1,noexpression,10,10
disappointment,2,expression,10,10
disappointment,2,noexpression,10,10
disappointment,3,expression,10,10
disappointment,3,noexpression,10,10
disappointment,4,expression,10,10
disappointment,4,noexpression,10,10
disappointment,5,expression,10,10
disappointment,5,noexpression,10,10
disliking,1,expression,10,10
disliking,1,noexpression,10,10
disliking,2,expression,10,10
disliking,2,noexpression,10,10
disliking,3,expression,10,10
disliking,3,noexpression,10,10
disliking,4,expression,10,10
disliking,4,noexpression,10,10
disliking,5,expression,10,10
disliking,5,noexpression,10,10
distress,1,expression,10,10
distress,1,noexpression,10,10
distress,2,expression,10,10
distress,2,noexpression,10,10
distress,3,expression,10,10
distress,3,noexpression,10,10
distress,4,expression,10,10
distress,4,noexpression,10,10
distress,5,expression,10,10
distress,5,noexpression,10,10
fear,1,expression,10,10
fear,1,noexpression,10,10
fear,2,expression,10,10
fear,2,noexpression,10,10
fear,3,expression,10,10
fear,3,noexpression,10,10
fear,4,expression,10,10
fear,4,noexpression,10,10
fear,5,expression,10,10
fear,5,noexpression,10,10
fearsConfirmed,1,expression,10,10
fearsConfirmed,1,noexpression,10,10
fearsConfirmed,2,expression,10,10
fearsConfirmed,2,noexpression,10,10
fearsConfirmed,3,expression,10,10
fearsConfirmed,3,noexpression,10,10
fearsConfirmed,4,expression,10,10
fearsConfirmed,4,noexpression,10,10
fearsConfirmed,5,expression,10,10
fearsConfirmed,5,noexpression,10,10
gloating,1,expression,10,10
gloating,1,noexpression,10,10
gloating,2,expression,10,10
gloating,2,noexpression,10,10
gloating,3,expression,10,10
gloating,3,noexpression,10,10
gloating,4,expression,10,10
gloating,4,noexpression,10,10
gloating,5,expression,10,10
gloating,5,noexpression,10,10
gratification,1,expression,10,10
gratification,1,noexpression,10,10
gratification,2,expression,10,10
gratification,2,noexpression,10,10
gratification,3,expression,10,10
gratification,3,noexpression,10,10
gratification,4,expression,10,10
gratification,4,noexpression,10,10
gratification,5,expression,10,10
gratification,5,noexpression,10,10
gratitude,1,expression,10,10
gratitude,1,noexpression,10,10
gratitude,2,expression,10,10
gratitude,2,noexpression,10,10
gratitude,3,expression,10,10
gratitude,3,noexpression,10,10
gratitude,4,expression,10,10
gratitude,4,noexpression,10,10
gratitude,5,expression,10,10
gratitude,5,noexpression,10,10
happyfor,1,expression,10,10
happyfor,1,noexpression,10,10
happyfor,2,expression,10,10
happyfor,2,noexpression,10,10
happyfor,3,expression,10,10
happyfor,3,noexpression,10,10
happyfor,4,expression,10,10
happyfor,4,noexpression,10,10
happyfor,5,expression,10,10
happyfor,5,noexpression,10,10
hope,1,expression,10,10
hope,1,noexpression,10,10
hope,2,expression,10,10
hope,2,noexpression,10,10
hope,3,expression,10,10
hope,3,noexpression,10,10
hope,4,expression,10,10
hope,4,noexpression,10,10
hope,5,expression,10,10
hope,5,noexpression,10,10
joy,1,expression,10,10
joy,1,noexpression,10,10
joy,2,expression,10,10
joy,2,noexpression,10,10
joy,3,expression,10,10
joy,3,noexpression,10,10
joy,4,expression,10,10
joy,4,noexpression,10,10
joy,5,expression,10,10
joy,5,noexpression,10,10
liking,1,expression,10,10
liking,1,noexpression,10,10
liking,2,expression,10,10
liking,2,noexpression,10,10
liking,3,expression,10,10
liking,3,noexpression,10,10
liking,4,expression,10,10
liking,4,noexpression,10,10
liking,5,expression,10,10
liking,5,noexpression,10,10
pity,1,expression,10,10
pity,1,noexpression,10,10
pity,2,expression,10,10
pity,2,noexpression,10,10
pity,3,expression,10,10
pity,3,noexpression,10,10
pity,4,expression,10,10
pity,4,noexpression,10,10
pity,5,expression,10,10
pity,5,noexpression,10,10
pride,1,expression,10,10
pride,1,noexpression,10,10
pride,2,expression,10,10
pride,2,noexpression,10,10
pride,3,expression,10,10
pride,3,noexpression,10,10
pride,4,expression,10,10
pride,4,noexpression,10,10
pride,5,expression,10,10
pride,5,noexpression,10,10
relief,1,expression,10,10
relief,1,noexpression,10,10
relief,2,expression,10,10
relief,2,noexpression,10,10
relief,3,expression,10,10
relief,3,noexpression,10,10
relief,4,expression,10,10
relief,4,noexpression,10,10
relief,5,expression,10,10
relief,5,noexpression,10,10
remorse,1,expression,10,10
remorse,1,noexpression,10,10
remorse,2,expression,10,10
remorse,2,noexpression,10,10
remorse,3,expression,10,10
remorse,3,noexpression,10,10
remorse,4,expression,10,10
remorse,4,noexpression,10,10
remorse,5,expression,10,10
remorse,5,noexpression,10,10
reproach,1,expression,10,10
reproach,1,noexpression,10,10
reproach,2,expression,10,10
reproach,2,noexpression,10,10
reproach,3,expression,10,10
reproach,3,noexpression,10,10
reproach,4,expression,10,10
reproach,4,noexpression,10,10
reproach,5,expression,10,10
reproach,5,noexpression,10,10
resentment,1,expression,10,10
resentment,1,noexpression,10,10
resentment,2,expression,10,10
resentment,2,noexpression,10,10
resentment,3,expression,10,10
resentment,3,noexpression,10,10
resentment,4,expression,10,10
resentment,4,noexpression,10,10
resentment,5,expression,10,10
resentment,5,noexpression,10,10
satisfaction,1,expression,10,10
satisfaction,1,noexpression,10,10
satisfaction,2,expression,10,10
satisfaction,2,noexpression,10,10
satisfaction,3,expression,10,10
satisfaction,3,noexpression,10,10
satisfaction,4,expression,10,10
satisfaction,4,noexpression,10,10
satisfaction,5,expression,10,10
satisfaction,5,noexpression,10,10
shame,1,expression,10,10
shame,1,noexpression,10,10
shame,2,expression,10,10
shame,2,noexpression,10,10
shame,3,expression,10,10
shame,3,noexpression,10,10
shame,4,expression,10,10
shame,4,noexpression,10,10
shame,5,expression,10,10
shame,5,noexpression,10,10
