emotion,outcome,estimate,se,df,t,p_raw,ci95_low,ci95_high,n_ratings,n_workers,p_holm,significant
admiration,naturalness,0.26000000000000023,0.29624314338056845,11.21355594318465,0.8776574439260236,0.3985437768686385,-0.3905149480304331,0.9105149480304335,100,18,1.0,False
admiration,emotion_match,0.3200000000000003,0.36023449153140363,11.21355594318465,0.8883102743428002,0.39302980843767116,-0.47103238935146785,1.1110323893514684,100,18,1.0,False
admiration,coordination,-0.13999999999999968,0.3040321620413794,11.21355594318465,-0.4604775990144931,0.653974820051576,-0.8076187129025075,0.5276187129025082,100,18,1.0,False
admiration,believability,0.21999999999999975,0.3237557378298921,11.21355594318465,0.6795246363034105,0.5105891630096193,-0.49092935541265725,0.9309293554126568,100,18,1.0,False
anger,naturalness,1.38,0.33093806066996895,11.21355594318465,4.169964606688795,0.0015000414650411943,0.6532991120693793,2.1067008879306206,100,18,0.1290035659935427,False
anger,emotion_match,1.88,0.4448320532016051,11.21355594318465,4.226314148157739,0.0013625673544484496,0.9032013586252884,2.8567986413747115,100,18,0.11854335983701511,False
anger,coordination,1.0199999999999996,0.45252869767808357,11.21355594318465,2.25400069704662,0.04513631527873381,0.026300436549960504,2.0136995634500385,100,18,1.0,False
anger,believability,1.4400000000000008,0.4790082346775356,11.21355594318465,3.0062113670538397,0.011713123508950735,0.3881545012938672,2.4918454987061347,100,18,0.775478543345696,False
disappointment,naturalness,0.8200000000000007,0.3691070305480512,11.21355594318465,2.221577840938067,0.047790935775185166,0.009484563069950047,1.6305154369300514,100,18,1.0,False
disappointment,emotion_match,1.3200000000000003,0.41670666474685103,11.21355594318465,3.167695915787426,0.008757396503570086,0.4049613892548457,2.2350386107451548,100,18,0.6217751517534761,False
disappointment,coordination,0.3600000000000003,0.41153371672318656,11.21355594318465,0.8747764408381397,0.4000440727946439,-0.5436794279590896,1.2636794279590902,100,18,1.0,False
disappointment,believability,0.8200000000000003,0.4313905165598542,11.21355594318465,1.9008299174936258,0.08332391028861,-0.12728261474139635,1.767282614741397,100,18,1.0,False
disliking,naturalness,1.2000000000000002,0.5098670850765369,11.21355594318465,2.3535545539674647,0.03784036745302219,0.08039211113519529,2.3196078888648053,100,18,1.0,False
disliking,emotion_match,1.7000000000000002,0.44191502451137477,11.21355594318465,3.8468934200182248,0.0026216684898777804,0.7296068090440712,2.670393190955929,100,18,0.22022015314973356,False
disliking,coordination,0.8399999999999999,0.46847269575362316,11.21355594318465,1.7930607431639272,0.09994968202698537,-0.18871069977930377,1.8687106997793035,100,18,1.0,False
disliking,believability,1.3399999999999999,0.5048212004704681,11.21355594318465,2.654405161176248,0.022086440460644872,0.2314722776660627,2.448527722333937,100,18,1.0,False
distress,naturalness,1.1800000000000006,0.4203067662764637,11.21355594318465,2.807473242588334,0.016763159940522094,0.2570559915713232,2.102944008428678,100,18,0.9555001166097593,False
distress,emotion_match,1.8200000000000003,0.4869679432753021,11.21355594318465,3.7374123392165117,0.0031759073045087936,0.7506759214836272,2.889324078516373,100,18,0.26067528325006956,False
distress,coordination,0.7800000000000002,0.3349560501850289,11.21355594318465,2.3286637144459106,0.03955010472122761,0.04447608173440154,1.515523918265599,100,18,1.0,False
distress,believability,1.3600000000000003,0.4643466138325743,11.21355594318465,2.9288465975340663,0.01346695017174684,0.34034968871040516,2.3796503112895957,100,18,0.8349509106483042,False
fear,naturalness,0.8799999999999999,0.45139782897129677,11.21355594318465,1.949499850288285,0.0766825551356368,-0.11121630935804616,1.8712163093580458,100,18,1.0,False
fear,emotion_match,1.6000000000000005,0.5437237860858726,11.21355594318465,2.9426706003023857,0.013135281659740311,0.40604679516858644,2.7939532048314146,100,18,0.8275227445636396,False
fear,coordination,0.6399999999999997,0.47638453188807706,11.21355594318465,1.3434525203063539,0.20568110119333952,-0.4060841573152234,1.6860841573152228,100,18,1.0,False
