emotion,outcome,n_ratings,n_workers,status,difference,se,z,p_two_sided,ci95_low,ci95_high,diagnostic,p_holm,significant_holm_05,few_worker_clusters
admiration,naturalness,100,18,ok,0.19870860249384498,0.2884688925299562,0.6888389273141816,0.49092463575830314,-0.36669042686486925,0.7641076318525593,,0.49092463575830314,False,True
admiration,emotion_match,100,18,ok,0.31739169419894164,0.33680678105191875,0.9423554157896118,0.3460107052576443,-0.3427495966628191,0.9775329850607024,,0.3460107052576443,False,True
admiration,coordination,100,18,ok,-0.18299162345014142,0.302874668434386,-0.6041826620762253,0.5457222066608093,-0.776625973581538,0.4106427266812551,,0.9341570382452993,False,True
admiration,believability,100,18,ok,0.15325133905497276,0.3244795774401212,0.47229887398153264,0.6367134739795965,-0.48272863272766475,0.7892313108376103,,0.6367134739795965,False,True
anger,naturalness,100,18,ok,1.369440408403764,0.3385558064083471,4.044947339500128,5.233488670455027e-05,0.7058710278434036,2.033009788964124,,0.0011513675075001059,True,True
anger,emotion_match,100,18,ok,1.942140582565294,0.4239049567496153,4.5815472351564015,4.615483234808905e-06,1.111286867336048,2.77299429779454,,0.00010144481823023813,True,True
anger,coordination,100,18,ok,1.041114497824687,0.45849857692103985,2.2707038805138584,0.02316490995922101,0.14245728705944882,1.9397717085899249,,0.382688450663919,False,True
anger,believability,100,18,ok,1.473647069253179,0.4852751804003423,3.0367245817876976,0.0023916387215772157,0.5225077156685081,2.4247864228378497,,0.0454411357099671,True,True
disappointment,naturalness,100,18,ok,0.9840974773717117,0.33576614300058444,2.93090145592791,0.003379799761613612,0.32599583709056623,1.6421991176528572,,0.05069699642420418,False,True
disappointment,emotion_match,100,18,ok,1.4169377572302493,0.4003458856150829,3.5392839245826053,0.0004012140756780248,0.6322598214246868,2.2016156930358117,,0.004814568908136298,True,True
disappointment,coordination,100,18,ok,0.5299645150751742,0.3784444578344678,1.4003759444853108,0.16140076966125327,-0.2117866222803827,1.2717156524307311,,0.7988545402916175,False,True
disappointment,believability,100,18,ok,0.9722196980890742,0.40719307798985394,2.387613519582715,0.016958164596729504,0.17412126522896043,1.770318130949188,,0.13466552062487636,False,True
disliking,naturalness,100,18,ok,1.2138619319203048,0.5057810948408307,2.399974898829121,0.016396196140920395,0.22253098603227672,2.205192877808333,,0.12038033736726056,False,True
disliking,emotion_match,100,18,ok,1.7436422926205946,0.43070137417012655,4.048378754259228,5.1573639243710925e-05,0.8994675992471466,2.5878169859940425,,0.0009798991456305077,True,True
disliking,coordination,100,18,ok,0.8504735751494619,0.45872039113092805,1.8540130144480966,0.06373729809139864,-0.048618391467157074,1.749565541766081,,0.747831668026465,False,True
disliking,believability,100,18,ok,1.3902962375034271,0.49887938196593734,2.7868384378297564,0.00532250076230671,0.41249264885019,2.3680998261566644,,0.07725960856498125,False,True
distress,naturalness,100,18,ok,1.2873377567346895,0.41284407899728837,3.118217802375567,0.0018194828995731036,0.4781633619000043,2.0965121515693745,,0.03004971422324809,True,True
