emotion,outcome,condition,mean,ci95_low,ci95_high,n_ratings,n_workers,n_scenarios,bootstrap_valid,bootstrap_requested,ci_status
admiration,believability,expression,3.94,3.0554626623376624,4.789409090909091,50,15,5,2000,2000,ok
admiration,believability,noexpression,3.72,2.798573412698413,4.665547619047619,50,15,5,2000,2000,ok
admiration,coordination,expression,4.08,3.224827380952381,4.822236111111111,50,15,5,2000,2000,ok
admiration,coordination,noexpression,4.220000000000001,3.3753446969696967,5.05001486013986,50,15,5,2000,2000,ok
admiration,emotion_match,expression,4.04,3.244061105561105,4.814874098124098,50,15,5,2000,2000,ok
admiration,emotion_match,noexpression,3.72,2.729356240981241,4.7087619047619045,50,15,5,2000,2000,ok
admiration,naturalness,expression,4.06,3.095551948051948,5.004141025641026,50,15,5,2000,2000,ok
admiration,naturalness,noexpression,3.8,2.926791958041958,4.673464646464646,50,15,5,2000,2000,ok
anger,believability,expression,5.12,4.055105866355866,6.098060286935286,50,15,5,2000,2000,ok
anger,believability,noexpression,3.6799999999999997,2.6968787878787883,4.7221217532467525,50,15,5,2000,2000,ok
anger,coordination,expression,5.159999999999999,4.100832417582417,6.055558080808081,50,15,5,2000,2000,ok
anger,coordination,noexpression,4.140000000000001,3.189189393939394,5.109588744588744,50,15,5,2000,2000,ok
anger,emotion_match,expression,5.56,4.828880952380953,6.3101098484848475,50,15,5,2000,2000,ok
anger,emotion_match,noexpression,3.6799999999999997,2.6984810606060603,4.703919191919191,50,15,5,2000,2000,ok
anger,naturalness,expression,5.14,4.05181746031746,6.09748611111111,50,15,5,2000,2000,ok
anger,naturalness,noexpression,3.7600000000000002,2.7687846320346323,4.739761904761903,50,15,5,2000,2000,ok
disappointment,believability,expression,4.46,3.5404404761904757,5.294995629370629,50,15,5,2000,2000,ok
disappointment,believability,noexpression,3.6399999999999997,2.685905303030303,4.614786435786436,50,15,5,2000,2000,ok
disappointment,coordination,expression,4.4799999999999995,3.4802550505050505,5.334152777777778,50,15,5,2000,2000,ok
disappointment,coordination,noexpression,4.119999999999999,3.2005151515151518,4.967994949494949,50,15,5,2000,2000,ok
disappointment,emotion_match,expression,4.840000000000001,4.14991792929293,5.541541666666668,50,15,5,2000,2000,ok
disappointment,emotion_match,noexpression,3.5200000000000005,2.6053507326007326,4.462267857142856,50,15,5,2000,2000,ok
disappointment,naturalness,expression,4.540000000000001,3.545212121212121,5.469850288600289,50,15,5,2000,2000,ok
disappointment,naturalness,noexpression,3.72,2.84259126984127,4.631214285714284,50,15,5,2000,2000,ok
disliking,believability,expression,4.739999999999999,3.7735456349206347,5.5251287878787885,50,15,5,2000,2000,ok
disliking,believability,noexpression,3.4,2.4956540404040406,4.412648268398267,50,15,5,2000,2000,ok
disliking,coordination,expression,4.640000000000001,3.70302398989899,5.413401515151514,50,15,5,2000,2000,ok
disliking,coordination,noexpression,3.8,2.9842045454545456,4.752522727272726,50,15,5,2000,2000,ok
disliking,emotion_match,expression,5.08,4.3132440476190474,5.749947478991597,50,15,5,2000,2000,ok
disliking,emotion_match,noexpression,3.3800000000000003,2.4351053946053947,4.3771729797979795,50,15,5,2000,2000,ok
disliking,naturalness,expression,4.86,3.8429656177156173,5.710523809523809,50,15,5,2000,2000,ok
disliking,naturalness,noexpression,3.6599999999999993,2.804242063492064,4.572138347763347,50,15,5,2000,2000,ok
distress,believability,expression,4.8,3.9020085470085473,5.5454987373737366,50,15,5,2000,2000,ok
distress,believability,noexpression,3.44,2.457598484848485,4.535195165945166,50,15,5,2000,2000,ok
